name,price,rpm,noise_level,color,size
Thermalright Peerless Assassin 120 SE,33.9,1550.0,25.6,Black,
NZXT Kraken Elite 360 RGB,273.99,500.0,"17.9,30.6",White,360.0
Deepcool GAMMAXX AG400 ARGB,29.99,500.0,31.6,Black,
Corsair iCUE H150i ELITE CAPELLIX XT,189.99,550.0,"5,34.1",Black,360.0
Cooler Master MASTERLIQUID ML240L RGB V2,99.99,650.0,"6,27",Black,240.0
Noctua NH-D15 chromax.black,119.95,300.0,"19.2,24.6",Black,
NZXT Kraken 240,120.99,500.0,"17.9,30.6",Black,240.0
Thermalright Phantom Spirit 120 SE,35.9,1500.0,25.6,Black / Silver,
Deepcool AK620 ZERO DARK,61.98,500.0,28,Black,
ARCTIC Liquid Freezer III,116.99,200.0,,Black,360.0
Cooler Master Hyper 212 Black Edition,29.99,650.0,"6.5,26",Black,
NZXT Kraken Elite 360 RGB,275.99,500.0,"17.9,30.6",Black,360.0
Deepcool LS720 SE WH,97.99,500.0,"28.2,32.9",White,360.0
Thermalright Assassin X 120 Refined SE,17.89,1550.0,25.6,Black / Silver,
Deepcool LS720 SE,92.18,500.0,"28.2,32.9",Black,360.0
Thermalright Peerless Assassin 120 SE WHITE ARGB,36.99,1550.0,25.6,White,
Noctua NH-D15,109.95,300.0,"19.2,24.6",,
Corsair iCUE H100x RGB ELITE,99.99,1500.0,"7,28",Black,240.0
Thermalright Phantom Spirit 120 SE ARGB,36.9,1500.0,25.6,Black / Silver,
Corsair iCUE H100i RGB ELITE,119.99,400.0,"5,28.9",Black,240.0
