name,price,core_count,core_clock,boost_clock,tdp,graphics,socket_type,l3_cache
AMD Ryzen 9 3950X,295.0,16,3.5,4.7,105,,AM4,64 MB
AMD Ryzen 9 5950X,294.0,16,3.4,4.9,105,,AM4,64 MB
AMD Ryzen 9 5900X,220.0,12,3.7,4.8,105,,AM4,64 MB
AMD Ryzen 5 5600X,144.31,6,3.7,4.6,65,,AM4,32 MB
AMD Ryzen 9 9950X3D,699.0,16,4.3,5.7,170,,AM5,
AMD Ryzen 9 9950X,599.99,16,4.3,5.7,170,,AM5,64 MB
AMD Ryzen 9 9900X3D,599.0,12,4.4,5.5,120,,AM5,
AMD Ryzen 9 7950X3D,564.0,16,4.2,5.7,120,Radeon,AM5,128 MB
AMD Ryzen 9 9900X,469.99,12,4.4,5.6,120,,AM5,64 MB
AMD Ryzen 7 9800X3D,399.0,8,4.7,5.2,120,,AM5,
AMD Ryzen 7 7800X3D,339.0,8,4.2,5.0,120,Radeon,AM5,96 MB
Intel Core i9-14900KS,652.95,24,3.2,6.2,150,Intel UHD Graphics 770,LGA1700,
Intel Core i9-13900KS,589.99,24,3.0,6.0,150,Intel UHD Graphics 770,LGA1700,
Intel Core i9-14900,554.99,24,2.0,5.8,65,Intel UHD Graphics 770,LGA1700,
Intel Core i9-13900F,549.99,24,2.0,5.6,65,,LGA1700,
Intel Core i9-14900K,544.99,24,3.2,6.0,125,Intel UHD Graphics 770,LGA1700,36 MB
Intel Core i9-14900F,528.99,24,2.0,5.8,65,,LGA1700,
Intel Core i9-14900KF,509.14,24,3.2,6.0,125,,LGA1700,
Intel Core i9-13900,490.0,24,2.0,5.6,65,Intel UHD Graphics 770,LGA1700,
Intel Core i9-13900K,489.0,24,3.0,5.8,125,Intel UHD Graphics 770,LGA1700,36 MB
Intel Core i9-13900KF,488.84,24,3.0,5.8,125,,LGA1700,
Intel Core i7-14700K,399.99,20,3.4,5.6,125,Intel UHD Graphics 770,LGA1700,33 MB
Intel Core i7-14700,399.98,20,2.1,5.4,65,Intel UHD Graphics 770,LGA1700,
Intel Core i7-14700KF,375.74,20,3.4,5.6,125,,LGA1700,
Intel Core i7-13700,371.99,16,2.1,5.2,65,Intel UHD Graphics 770,LGA1700,
Intel Core i7-14700F,369.55,20,2.1,5.4,65,,LGA1700,
Intel Core i7-13700K,359.0,16,3.4,5.4,125,Intel UHD Graphics 770,LGA1700,30 MB
Intel Core i7-13700F,349.98,16,2.1,5.2,65,,LGA1700,
Intel Core Ultra 9 285K,589.0,24,3.2,5.7,125,Intel Arc,LGA1851,36 MB
AMD Threadripper 3990X,4255.0,64,2.9,4.3,280,,sTRX4,
AMD Threadripper 2990WX,2500.0,32,3.0,4.2,250,,sTRX4,
Intel Core i5-14400F,199.99,10,2.5,4.7,65,,LGA1700,
Intel Core i5-12500,195.98,6,3.0,4.6,65,Intel UHD Graphics 770,LGA1700,
AMD Ryzen 5 1500X,195.0,4,3.5,3.7,65,,AM4,
AMD Ryzen 7 1700,195.0,8,3.0,3.7,65,,AM4,
AMD Ryzen 5 2600X,195.0,6,3.6,4.2,95,,AM4,
Intel Core i5-13400F,185.99,10,2.5,4.6,65,,LGA1700,
AMD Ryzen 7 2700,185.0,8,3.2,4.1,65,,AM4,
AMD Ryzen 5 7600,185.0,6,3.8,5.1,65,Radeon,AM5,32 MB
AMD Ryzen 5 8500G,179.0,6,4.1,5.0,65,Radeon 740M,AM5,
