name,price,speed,modules,price_per_gb,color,first_word_latency,cas_latency,dram,num_modules,size_per_module,total_size_gb
Silicon Power GAMING 32 GB,51.49,3200,"2,16",1.6090625,Black,10.0,16.0,DDR4,2,16,32
Silicon Power XPOWER Turbine 32 GB,51.49,3200,"2,16",1.6090625,Blue,10.0,16.0,DDR4,2,16,32
TEAMGROUP T-Force Vulcan Z 32 GB,52.75,3200,"2,16",1.6484375,Gray,10.0,16.0,DDR4,2,16,32
TEAMGROUP Elite 64 GB,108.99,3200,"2,32",1.70296875,Black,13.75,22.0,DDR4,2,32,64
TEAMGROUP T-Force Zeus 64 GB,109.99,3200,"2,32",1.71859375,Red,12.5,20.0,DDR4,2,32,64
Mushkin Enhanced Essentials 64 GB,112.04,2933,"2,32",1.750625,Black,14.32,21.0,DDR4,2,32,64
Silicon Power SP016GBLFU320B22 16 GB,29.97,3200,"2,8",1.873125,,13.75,22.0,DDR4,2,8,16
TEAMGROUP Elite 16 GB,30.99,3200,"2,8",1.936875,Black,13.75,22.0,DDR4,2,8,16
G.Skill Ripjaws V 128 GB,249.99,2666,"4,32",1.953046875,Black,13.503,18.0,DDR4,4,32,128
TEAMGROUP Elite 16 GB,31.99,3200,"2,8",1.999375,Black,13.75,22.0,DDR4,2,8,16
G.Skill Ripjaws V 128 GB,259.99,3200,"4,32",2.031171875,Black,10.0,16.0,DDR4,4,32,128
G.Skill Ripjaws V 128 GB,259.99,3600,"4,32",2.031171875,Black,10.0,18.0,DDR4,4,32,128
Silicon Power SU064GBSVU480F22AB 64 GB,139.99,4800,"2,32",2.18734375,Black,16.667,40.0,DDR5,2,32,64
TEAMGROUP Elite Plus 64 GB,147.99,4800,"2,32",2.31234375,Black,16.667,40.0,DDR5,2,32,64
TEAMGROUP Elite Plus 64 GB,147.99,4800,"2,32",2.31234375,Silver,16.667,40.0,DDR5,2,32,64
Silicon Power SP032GBLVU560FD2AD 32 GB,75.97,5600,"2,16",2.3740625,Black,16.429,46.0,DDR5,2,16,32
TEAMGROUP Elite 32 GB,75.98,4800,"2,16",2.374375,Black,16.667,40.0,DDR5,2,16,32
Mushkin Redline 96 GB,234.99,4800,"2,48",2.4478125,Black,16.667,40.0,DDR5,2,48,96
Patriot Signature Line 32 GB,79.98,4800,"2,16",2.499375,Black,16.667,40.0,DDR5,2,16,32
Mushkin Enhanced Redline 96 GB,249.99,5600,"2,48",2.6040625,Black,16.429,46.0,DDR5,2,48,96
Mushkin Redline 96 GB,259.99,5600,"2,48",2.708229166666667,Black,16.429,46.0,DDR5,2,48,96
Patriot Viper Elite 5 RGB 48 GB,131.74,6000,"2,24",2.7445833333333334,White,14.0,42.0,DDR5,2,24,48
G.Skill Value 8 GB,22.62,2400,"2,4",2.8275,Black,14.167,17.0,DDR4,2,4,8
G.Skill Ripjaws S5 48 GB,139.99,5600,"2,24",2.9164583333333334,Black,14.286,40.0,DDR5,2,24,48
Crucial Pro 48 GB,146.99,6000,"2,24",3.062291666666667,Black,16.0,48.0,DDR5,2,24,48
G.Skill Ripjaws 8 GB,24.97,2133,"2,4",3.12125,Black / Blue,14.065,15.0,DDR4,2,4,8
Patriot Viper 4 Blackout 8 GB,24.99,3200,"2,4",3.12375,Black,11.875,19.0,DDR4,2,4,8
TEAMGROUP Elite 16 GB,49.99,4800,"2,8",3.124375,Black,16.667,40.0,DDR5,2,8,16
Corsair Vengeance 192 GB,629.99,5200,"4,48",3.2811979166666667,Black,14.615,38.0,DDR5,4,48,192
Crucial CT2K8G48C40S5 16 GB,52.64,4800,"2,8",3.29,Black,16.667,40.0,DDR5,2,8,16
