name,price,chipset,memory,core_clock,boost_clock,color,length,recommended_wattage
NVIDIA 9001G4112520001,214.99,GeForce GTX 1070,8.0,1506.0,1683.0,Black / Silver,267.0,450
MSI GeForce RTX 2060 VENTUS GP OC,329.0,GeForce RTX 2060,6.0,1365.0,1710.0,Gray / Black,231.0,450
MSI GeForce RTX 2060 VENTUS GP 12G OC,297.5,GeForce RTX 2060 12GB,12.0,1470.0,1695.0,Gray / Black,231.0,450
MSI MSI RTX 2070 Ventus 8G Video Card,629.0,GeForce RTX 2070,8.0,1410.0,1620.0,Silver / Black,226.0,500
MSI GeForce RTX 2070 SUPER VENTUS GP OC,679.0,GeForce RTX 2070 SUPER,8.0,1605.0,1785.0,Silver / Black,258.0,500
Zotac ZT-T20800G-10P,469.98,GeForce RTX 2080,8.0,1515.0,1710.0,Black,268.0,650
MSI GeForce RTX 2080 TI VENTUS 11G OC,1079.0,GeForce RTX 2080 Ti,11.0,1350.0,1635.0,Silver / Black,268.0,650
Asus ROG-STRIX-RTX3050-8G-GAMING,326.255,GeForce RTX 3050 8GB,8.0,1550.0,,Black / Silver,300.0,500
MSI GeForce RTX 3060 Ventus 2X 12G,288.0,GeForce RTX 3060 12GB,12.0,1320.0,1777.0,Black,235.0,550
MSI GeForce RTX 3060 Ti GAMING X,549.495,GeForce RTX 3060 Ti,8.0,1410.0,1770.0,Black / Silver,278.0,550
MSI RTX 3070 GAMING X TRIO,550.66,GeForce RTX 3070,8.0,1500.0,1830.0,Black / Silver,323.0,550
MSI GeForce RTX 3070 Ventus 3X 8G OC LHR,499.99,GeForce RTX 3070 LHR,8.0,1500.0,1755.0,Black,305.0,550
MSI GeForce RTX 3080 VENTUS 3X 10G OC,844.99,GeForce RTX 3080 10GB,10.0,1440.0,,Black,305.0,650
MSI GeForce RTX 3080 SEA HAWK X 10G LHR,949.925,GeForce RTX 3080 10GB LHR,10.0,1440.0,1785.0,Black / Silver,271.0,650
Asus ROG-STRIX-RTX3080-12G-GAMING,1239.9,GeForce RTX 3080 12GB LHR,12.0,1260.0,1740.0,Black / Silver,318.0,650
MSI GeForce RTX 3090 GAMING X TRIO 24G,1299.99,GeForce RTX 3090,24.0,1395.0,,Black,335.0,700
MSI GeForce RTX 3090 TI GAMING X TRIO 24G,1545.95,GeForce RTX 3090 Ti,24.0,1560.0,1920.0,Black,325.0,700
MSI RTX 4060 Ti 8G GAMING SLIM MONSTER HUNTER EDITION,479.99,GeForce RTX 4060 Ti,8.0,2310.0,2550.0,Red / Black,307.0,500
MSI RTX 4090 GAMING SLIM 24G,1799.99,GeForce RTX 4090,24.0,2235.0,2535.0,Black,322.0,850
NVIDIA GeForce RTX 5060 FE,299.0,GeForce RTX 5060,8.0,2200.0,2600.0,Black/Silver,305.0,450
Yeston Cute Pet RTX 5060 Ti,439.0,GeForce RTX 5060 Ti,16.0,2080.0,2450.0,White/Pink,305.0,500
NVIDIA GeForce RTX 5070 FE,549.0,GeForce RTX 5070,12.0,2200.0,2600.0,Black/Silver,305.0,650
NVIDIA GeForce RTX 5070 Ti FE,749.0,GeForce RTX 5070 Ti,16.0,2200.0,2600.0,Black/Silver,305.0,700
Yeston Sakura RTX 5080 Pink Edition,1019.0,GeForce RTX 5080,16.0,2150.0,2550.0,Pink/White,320.0,750
NVIDIA GeForce RTX 5090 FE,1999.0,GeForce RTX 5090,32.0,2200.0,2600.0,Black/Silver,305.0,850
PNY VCQRTX4000-PB,599.36,Quadro RTX 4000,8.0,1005.0,1545.0,Silver / Black,267.0,500
PNY VCQRTX5000-PB,824.64,Quadro RTX 5000,16.0,1620.0,1815.0,Silver / Black,267.0,500
PNY VCQRTX6000-PB,1959.0,Quadro RTX 6000,24.0,1440.0,1770.0,Black / Silver,267.0,500
PNY VCQRTX8000-PB,3599.96,Quadro RTX 8000,48.0,1395.0,1770.0,Black / White,267.0,500
PNY VCNRTX4000ADALP-PB,1308.39,RTX 4000 SFF Ada Generation,20.0,1290.0,1565.0,Black,168.0,500
PNY VCNRTX6000ADA-PB,9999.0,RTX 6000 Ada Generation,48.0,915.0,2505.0,Black / Gold,267.0,500
ASRock RX6500XT CLI 4G:,199.99,Radeon RX 6500 XT,4.0,2310.0,2815.0,Black,179.0,400
MSI Radeon RX 6600 MECH 2X 8G,219.99,Radeon RX 6600,8.0,1626.0,2491.0,Black / Silver,235.0,500
MSI Radeon RX 6600 XT MECH 2X 8G OCV1,399.0,Radeon RX 6600 XT,8.0,1968.0,2602.0,Black / Silver,215.0,500
ASRock Radeon RX6700XT CLD 12G,614.48,Radeon RX 6700 XT,12.0,2321.0,2581.0,Black,269.0,600
MSI Radeon RX 6800 16G,556.04,Radeon RX 6800,16.0,1700.0,2105.0,Black / Silver,267.0,700
ASRock Radeon RX 6800 XT 16G,789.0,Radeon RX 6800 XT,16.0,1825.0,2250.0,Black / Silver,267.0,700
MSI Radeon RX 6900 XT GAMING X TRIO 16G,1011.33,Radeon RX 6900 XT,16.0,1825.0,2340.0,Silver / Black,324.0,750
AMD Radeon RX 6950 XT,549.99,Radeon RX 6950 XT,16.0,1890.0,2310.0,Black,267.0,500
AMD 100-300000120,269.99,Radeon RX 7600,8.0,1720.0,2655.0,Black,204.0,500
PowerColor RX 7900 XT 20G,729.99,Radeon RX 7900 XT,20.0,2000.0,2400.0,Black,276.0,800
AMD 100-300000053,994.99,Radeon RX 7900 XTX,24.0,2300.0,2500.0,Black,287.0,800
Yeston Cute Pet RX 9070,569.0,Radeon RX 9070,16.0,2200.0,2600.0,White/Pink,310.0,300
Yeston Sakura RX 9070 XT,649.0,Radeon RX 9070 XT,16.0,2320.0,2990.0,Pink,330.0,350
